YEAR,TOPONIMIA,SEXO,CASOS
2019,Distrito Nacional,hombre,81
2019,Monte Plata,hombre,21
2019,Santo Domingo,hombre,103
2019,Peravia,hombre,20
2019,San Cristóbal,hombre,54
2019,San José de Ocoa,hombre,15
2019,Espaillat,hombre,14
2019,Puerto Plata,hombre,17
2019,Santiago,hombre,9
2019,Duarte,hombre,25
2019,Hermanas Mirabal,hombre,5
2019,María Trinidad Sánchez,hombre,12
2019,Samaná,hombre,11
2019,Bahoruco,hombre,11
2019,Barahona,hombre,26
2019,Independencia,hombre,3
2019,Pedernales,hombre,2
2019,El Seibo,hombre,11
2019,Hato Mayor,hombre,15
2019,La Altagracia,hombre,12
2019,La Romana,hombre,1
2019,San Pedro de Macorís,hombre,16
2019,Azua,hombre,19
2019,Elías Piña,hombre,8
2019,San Juan,hombre,39
2019,Dajabón,hombre,4
2019,Monte Cristi,hombre,3
2019,Santiago Rodríguez,hombre,6
2019,Valverde,hombre,3
2019,La Vega,hombre,11
2019,Monseñor Nouel,hombre,8
2019,Sánchez Ramírez,hombre,10
2019,Distrito Nacional,mujer,134
2019,Monte Plata,mujer,20
2019,Santo Domingo,mujer,146
2019,Peravia,mujer,14
2019,San Cristóbal,mujer,41
2019,San José de Ocoa,mujer,16
2019,Espaillat,mujer,15
2019,Puerto Plata,mujer,17
2019,Santiago,mujer,17
2019,Duarte,mujer,32
2019,Hermanas Mirabal,mujer,16
2019,María Trinidad Sánchez,mujer,22
2019,Samaná,mujer,11
2019,Bahoruco,mujer,16
2019,Barahona,mujer,22
2019,Independencia,mujer,5
2019,Pedernales,mujer,3
2019,El Seibo,mujer,11
2019,Hato Mayor,mujer,20
2019,La Altagracia,mujer,17
2019,La Romana,mujer,6
2019,San Pedro de Macorís,mujer,25
2019,Azua,mujer,24
2019,Elías Piña,mujer,11
2019,San Juan,mujer,57
2019,Dajabón,mujer,10
2019,Monte Cristi,mujer,5
2019,Santiago Rodríguez,mujer,8
2019,Valverde,mujer,5
2019,La Vega,mujer,31
2019,Monseñor Nouel,mujer,16
2019,Sánchez Ramírez,mujer,22
2020,Distrito Nacional,hombre,83
2020,Monte Plata,hombre,9
2020,Santo Domingo,hombre,73
2020,Peravia,hombre,9
2020,San Cristóbal,hombre,23
2020,San José de Ocoa,hombre,7
2020,Espaillat,hombre,6
2020,Puerto Plata,hombre,7
2020,Santiago,hombre,8
2020,Duarte,hombre,9
2020,Hermanas Mirabal,hombre,10
2020,María Trinidad Sánchez,hombre,3
2020,Samaná,hombre,2
2020,Bahoruco,hombre,1
2020,Barahona,hombre,9
2020,Independencia,hombre,1
2020,Pedernales,hombre,1
2020,El Seibo,hombre,4
2020,Hato Mayor,hombre,4
2020,La Altagracia,hombre,5
2020,La Romana,hombre,1
2020,San Pedro de Macorís,hombre,5
2020,Azua,hombre,7
2020,Elías Piña,hombre,4
2020,San Juan,hombre,32
2020,Dajabón,hombre,6
2020,Monte Cristi,hombre,6
2020,Santiago Rodríguez,hombre,3
2020,Valverde,hombre,1
2020,La Vega,hombre,17
2020,Monseñor Nouel,hombre,3
2020,Sánchez Ramírez,hombre,12
2020,Distrito Nacional,mujer,128
2020,Monte Plata,mujer,22
2020,Santo Domingo,mujer,141
2020,Peravia,mujer,14
2020,San Cristóbal,mujer,37
2020,San José de Ocoa,mujer,6
2020,Espaillat,mujer,7
2020,Puerto Plata,mujer,13
2020,Santiago,mujer,5
2020,Duarte,mujer,17
2020,Hermanas Mirabal,mujer,9
2020,María Trinidad Sánchez,mujer,12
2020,Samaná,mujer,4
2020,Bahoruco,mujer,5
2020,Barahona,mujer,18
2020,Independencia,mujer,1
2020,Pedernales,mujer,1
2020,El Seibo,mujer,12
2020,Hato Mayor,mujer,9
2020,La Altagracia,mujer,12
2020,La Romana,mujer,6
2020,San Pedro de Macorís,mujer,13
2020,Azua,mujer,18
2020,Elías Piña,mujer,11
2020,San Juan,mujer,36
2020,Dajabón,mujer,1
2020,Monte Cristi,mujer,1
2020,Santiago Rodríguez,mujer,0
2020,Valverde,mujer,1
2020,La Vega,mujer,12
2020,Monseñor Nouel,mujer,9
2020,Sánchez Ramírez,mujer,14
2021,Distrito Nacional,hombre,128
2021,Monte Plata,hombre,7
2021,Santo Domingo,hombre,53
2021,Peravia,hombre,4
2021,San Cristóbal,hombre,20
2021,San José de Ocoa,hombre,2
2021,Espaillat,hombre,2
2021,Puerto Plata,hombre,3
2021,Santiago,hombre,7
2021,Duarte,hombre,10
2021,Hermanas Mirabal,hombre,2
2021,María Trinidad Sánchez,hombre,3
2021,Samaná,hombre,3
2021,Bahoruco,hombre,2
2021,Barahona,hombre,12
2021,Independencia,hombre,3
2021,Pedernales,hombre,0
2021,El Seibo,hombre,4
2021,Hato Mayor,hombre,2
2021,La Altagracia,hombre,7
2021,La Romana,hombre,3
2021,San Pedro de Macorís,hombre,8
2021,Azua,hombre,6
2021,Elías Piña,hombre,4
2021,San Juan,hombre,15
2021,Dajabón,hombre,2
2021,Monte Cristi,hombre,3
2021,Santiago Rodríguez,hombre,0
2021,Valverde,hombre,1
2021,La Vega,hombre,3
2021,Monseñor Nouel,hombre,3
2021,Sánchez Ramírez,hombre,5
2021,Distrito Nacional,mujer,162
2021,Monte Plata,mujer,14
2021,Santo Domingo,mujer,87
2021,Peravia,mujer,4
2021,San Cristóbal,mujer,30
2021,San José de Ocoa,mujer,6
2021,Espaillat,mujer,6
2021,Puerto Plata,mujer,7
2021,Santiago,mujer,7
2021,Duarte,mujer,10
2021,Hermanas Mirabal,mujer,1
2021,María Trinidad Sánchez,mujer,11
2021,Samaná,mujer,4
2021,Bahoruco,mujer,6
2021,Barahona,mujer,10
2021,Independencia,mujer,1
2021,Pedernales,mujer,2
2021,El Seibo,mujer,7
2021,Hato Mayor,mujer,7
2021,La Altagracia,mujer,8
2021,La Romana,mujer,3
2021,San Pedro de Macorís,mujer,10
2021,Azua,mujer,18
2021,Elías Piña,mujer,7
2021,San Juan,mujer,25
2021,Dajabón,mujer,4
2021,Monte Cristi,mujer,2
2021,Santiago Rodríguez,mujer,2
2021,Valverde,mujer,3
2021,La Vega,mujer,8
2021,Monseñor Nouel,mujer,7
2021,Sánchez Ramírez,mujer,11
2017,Distrito Nacional,hombre,44
2017,Azua,hombre,15
2017,Bahoruco,hombre,12
2017,Barahona,hombre,18
2017,Dajabón,hombre,4
2017,Duarte,hombre,14
2017,El Seibo,hombre,4
2017,Elías Piña,hombre,8
2017,Espaillat,hombre,14
2017,Hato Mayor,hombre,9
2017,Hermanas Mirabal,hombre,8
2017,Independencia,hombre,3
2017,La Altagracia,hombre,15
2017,La Romana,hombre,5
2017,La Vega,hombre,17
2017,María Trinidad Sánchez,hombre,9
2017,Monseñor Nouel,hombre,12
2017,Monte Cristi,hombre,4
2017,Monte Plata,hombre,18
2017,Peravia,hombre,13
2017,Puerto Plata,hombre,12
2017,Samaná,hombre,6
2017,San Cristóbal,hombre,40
2017,San Juan,hombre,36
2017,San José de Ocoa,hombre,10
2017,San Pedro de Macorís,hombre,22
2017,Santiago,hombre,16
2017,Santiago Rodríguez,hombre,5
2017,Sánchez Ramírez,hombre,13
2017,Valverde,hombre,3
2017,Santo Domingo,hombre,77
2017,Distrito Nacional,mujer,72
2017,Azua,mujer,21
2017,Bahoruco,mujer,13
2017,Barahona,mujer,30
2017,Dajabón,mujer,5
2017,Duarte,mujer,41
2017,El Seibo,mujer,8
2017,Elías Piña,mujer,9
2017,Espaillat,mujer,23
2017,Hato Mayor,mujer,14
2017,Hermanas Mirabal,mujer,8
2017,Independencia,mujer,10
2017,La Altagracia,mujer,9
2017,La Romana,mujer,13
2017,La Vega,mujer,30
2017,María Trinidad Sánchez,mujer,10
2017,Monseñor Nouel,mujer,13
2017,Monte Cristi,mujer,10
2017,Monte Plata,mujer,29
2017,Peravia,mujer,26
2017,Puerto Plata,mujer,20
2017,Samaná,mujer,11
2017,San Cristóbal,mujer,56
2017,San Juan,mujer,58
2017,San José de Ocoa,mujer,13
2017,San Pedro de Macorís,mujer,31
2017,Santiago,mujer,17
2017,Santiago Rodríguez,mujer,6
2017,Sánchez Ramírez,mujer,20
2017,Valverde,mujer,1
2017,Santo Domingo,mujer,134
2018,Distrito Nacional,hombre,47
2018,Azua,hombre,8
2018,Barahona,hombre,7
2018,Dajabón,hombre,1
2018,Duarte,hombre,5
2018,Elías Piña,hombre,2
2018,El Seibo,hombre,3
2018,Espaillat,hombre,3
2018,Independencia,hombre,1
2018,La Altagracia,hombre,4
2018,La Romana,hombre,5
2018,La Vega,hombre,7
2018,María Trinidad Sánchez,hombre,5
2018,Monte Cristi,hombre,0
2018,Pedernales,hombre,2
2018,Peravia,hombre,11
2018,Puerto Plata,hombre,4
2018,Hermanas Mirabal,hombre,1
2018,Samaná,hombre,5
2018,San Cristóbal,hombre,24
2018,San Juan,hombre,6
2018,San Pedro de Macorís,hombre,7
2018,Sánchez Ramírez,hombre,8
2018,Santiago,hombre,6
2018,Santiago Rodríguez,hombre,3
2018,Valverde,hombre,3
2018,Monseñor Nouel,hombre,8
2018,Monte Plata,hombre,15
2018,Hato Mayor,hombre,2
2018,San José de Ocoa,hombre,2
2018,Santo Domingo,hombre,359
2018,Distrito Nacional,mujer,87
2018,Azua,mujer,17
2018,Barahona,mujer,12
2018,Dajabón,mujer,1
2018,Duarte,mujer,9
2018,Elías Piña,mujer,2
2018,El Seibo,mujer,3
2018,Espaillat,mujer,3
2018,Independencia,mujer,5
2018,La Altagracia,mujer,13
2018,La Romana,mujer,11
2018,La Vega,mujer,12
2018,María Trinidad Sánchez,mujer,4
2018,Monte Cristi,mujer,2
2018,Pedernales,mujer,1
2018,Peravia,mujer,13
2018,Puerto Plata,mujer,0
2018,Hermanas Mirabal,mujer,0
2018,Samaná,mujer,8
2018,San Cristóbal,mujer,33
2018,San Juan,mujer,21
2018,San Pedro de Macorís,mujer,29
2018,Sánchez Ramírez,mujer,11
2018,Santiago,mujer,3
2018,Santiago Rodríguez,mujer,1
2018,Valverde,mujer,0
2018,Monseñor Nouel,mujer,6
2018,Monte Plata,mujer,8
2018,Hato Mayor,mujer,1
2018,San José de Ocoa,mujer,3
2018,Santo Domingo,mujer,554
